session_duration,login_time_pattern,avg_tx_amount,geo_distance_delta,user_id,tx_id,timestamp,tx_amount,currency,tx_type,merchant_id,tx_location,device_id,ip_address,is_vpn,avg_tx_amount_user,std_tx_amount_user,avg_tx_hour_user,device_change_freq,location_change_freq,txs_last_24h,txs_last_7d,has_recent_password_reset,is_new_device,tx_hour,risk_flag_manual,anomaly_score_baseline,country_mismatch,is_weekend,ip_risk_score
200,14:12,146.93674006833794,23.84016678185263,user_1,1,2023-10-06 15:34:29,156.1523084786723,USD,transfer,merchant_61,loc_32,dev_10,192.168.1.203,0,146.93674006833794,22.663269865796018,11,0.06518037674209036,0.1102920524718561,5,9,0,0,15,0,0.020885292218654206,0,0,0.008755681528364367
98,19:53,146.93674006833794,0.0,user_1,2,2023-10-05 03:57:51,150.03725368409275,EUR,withdrawal,merchant_99,loc_46,dev_13,192.168.1.235,0,146.93674006833794,22.663269865796018,11,0.06518037674209036,0.1102920524718561,1,2,0,0,3,0,0.06068300809349414,0,0,0.008755681528364367
50,18:06,146.93674006833794,0.0,user_1,3,2023-05-23 19:01:27,127.78689399316397,EUR,transfer,merchant_83,loc_20,dev_7,192.168.1.237,0,146.93674006833794,22.663269865796018,11,0.06518037674209036,0.1102920524718561,2,1,0,0,19,0,0.03224663448745666,0,0,0.008755681528364367
116,04:30,146.93674006833794,13.114280311887583,user_1,4,2023-01-04 23:24:08,162.6675744163819,USD,withdrawal,merchant_47,loc_41,dev_4,192.168.1.138,0,146.93674006833794,22.663269865796018,11,0.06518037674209036,0.1102920524718561,3,-2,0,0,23,0,0.10650577683023657,0,0,0.008755681528364367
183,05:05,146.93674006833794,4.046495491749032,user_1,5,2023-11-05 20:16:35,137.05642274427638,EUR,withdrawal,merchant_15,loc_16,dev_5,192.168.1.245,0,146.93674006833794,22.663269865796018,11,0.06518037674209036,0.1102920524718561,5,3,0,0,20,0,0.0561527451305933,0,1,0.008755681528364367
141,07:56,146.93674006833794,4.761656462386451,user_1,6,2023-08-08 14:47:39,164.24892454957228,PLN,withdrawal,merchant_21,loc_26,dev_5,192.168.1.193,0,146.93674006833794,22.663269865796018,11,0.06518037674209036,0.1102920524718561,1,9,0,0,14,0,0.175940720215548,0,0,0.008755681528364367
93,16:49,146.93674006833794,0.0,user_1,7,2023-07-20 02:37:37,144.1549087893841,USD,withdrawal,merchant_16,loc_33,dev_7,192.168.1.110,0,146.93674006833794,22.663269865796018,11,0.06518037674209036,0.1102920524718561,1,0,0,0,2,0,0.06312900611768783,0,0,0.008755681528364367
72,04:40,146.93674006833794,3.852008192682113,user_1,8,2023-02-15 13:05:19,138.346445298082,PLN,purchase,merchant_42,loc_6,dev_19,192.168.1.78,0,146.93674006833794,22.663269865796018,11,0.06518037674209036,0.1102920524718561,1,-3,0,0,13,0,0.0837580133596624,0,0,0.008755681528364367
233,12:07,146.93674006833794,1.8197057312130323,user_1,9,2023-12-29 10:09:01,145.39399512244566,USD,transfer,merchant_21,loc_19,dev_1,192.168.1.157,0,146.93674006833794,22.663269865796018,11,0.06518037674209036,0.1102920524718561,1,3,0,0,10,0,0.09019511355838206,0,0,0.008755681528364367
98,17:15,146.93674006833794,4.655082420644233,user_1,10,2023-07-16 00:35:43,141.22628816193222,PLN,withdrawal,merchant_45,loc_49,dev_19,192.168.1.196,0,146.93674006833794,22.663269865796018,11,0.06518037674209036,0.1102920524718561,3,8,0,0,0,0,0.01572075879945589,0,1,0.008755681528364367
